# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1710658177656000000,1710658237653000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710658177656000000,1710658237653000000,0
DirectByteBufferAllocator.reclaimed,1710658177656000000,1710658237653000000,0
FilePageCache.pageHits,1710658177656000000,1710658237653000000,45
DirectByteBufferAllocator.hits,1710658177656000000,1710658237653000000,0
DirectByteBufferAllocator.misses,1710658177656000000,1710658237653000000,0
FilePageCache.capacityInBytes,1710658177656000000,1710658237653000000,524288000
FilePageCache.maxCacheSizeInBytes,1710658177656000000,1710658237653000000,489709568
FilePageCache.pageLoadsAboveSizeThreshold,1710658177656000000,1710658237653000000,0
FilePageCache.totalPageLoadsUs,1710658177656000000,1710658237653000000,0
FilePageCache.pageLoads,1710658177656000000,1710658237653000000,0
DirectByteBufferAllocator.disposed,1710658177656000000,1710658237653000000,0
StorageLockContext.competingThreads.90P,1710658177656000000,1710658237653000000,0
AWTEventQueue.eventsDispatched,1710658177656000000,1710658237653000000,791
FlushQueue.queueSizeAvg,1710658177656000000,1710658237653000000,0.4022140221402214
FlushQueue.waitingTimeMaxNs,1710658177656000000,1710658237653000000,66584575
NonBlockingReadAction.finalizedExecutionTimeUs,1710658177656000000,1710658237653000000,42159
FlushQueue.waitingTime90PNs,1710658177656000000,1710658237653000000,557055
NonBlockingReadAction.finalizedExecutionsCount,1710658177656000000,1710658237653000000,39
FlushQueue.tasksExecuted,1710658177656000000,1710658237653000000,542
FlushQueue.queueSizeMax,1710658177656000000,1710658237653000000,9
FlushQueue.executionTimeMaxNs,1710658177656000000,1710658237653000000,37748735
FlushQueue.executionTimeAvgNs,1710658177656000000,1710658237653000000,386800.42804428044
FlushQueue.queueSize90P,1710658177656000000,1710658237653000000,1
NonBlockingReadAction.failedExecutionTimeUs,1710658177656000000,1710658237653000000,0
NonBlockingReadAction.failedExecutionsCount,1710658177656000000,1710658237653000000,0
FlushQueue.waitingTimeAvgNs,1710658177656000000,1710658237653000000,721068.6051660517
AWTEventQueue.dispatchTimeAvgNs,1710658177656000000,1710658237653000000,769548.0657395702
FlushQueue.executionTime90PNs,1710658177656000000,1710658237653000000,346111
AWTEventQueue.dispatchTimeMaxNs,1710658177656000000,1710658237653000000,51380223
AWTEventQueue.dispatchTime90PNs,1710658177656000000,1710658237653000000,606207
FileNameCache.totalMisses,1710658177656000000,1710658237653000000,0
FileNameCache.fastMisses,1710658177656000000,1710658237653000000,593
FileNameCache.queries,1710658177656000000,1710658237653000000,48004
FilePageCache.disposedBuffers,1710658237653000000,1710658297655000000,0
StorageLockContext.competingThreads.max,1710658237653000000,1710658297655000000,0
FilePageCache.pageFastCacheHits,1710658237653000000,1710658297655000000,0
FilePageCache.uncachedFileAccess,1710658237653000000,1710658297655000000,0
StorageLockContext.competingThreads.avg,1710658237653000000,1710658297655000000,0.0
FilePageCache.maxRegisteredFiles,1710658237653000000,1710658297655000000,705
FilePageCache.totalPageDisposalsUs,1710658237653000000,1710658297655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710658237653000000,1710658297655000000,0
DirectByteBufferAllocator.reclaimed,1710658237653000000,1710658297655000000,0
FilePageCache.pageHits,1710658237653000000,1710658297655000000,0
DirectByteBufferAllocator.hits,1710658237653000000,1710658297655000000,0
DirectByteBufferAllocator.misses,1710658237653000000,1710658297655000000,0
FilePageCache.capacityInBytes,1710658237653000000,1710658297655000000,524288000
FilePageCache.maxCacheSizeInBytes,1710658237653000000,1710658297655000000,489709568
FilePageCache.pageLoadsAboveSizeThreshold,1710658237653000000,1710658297655000000,0
FilePageCache.totalPageLoadsUs,1710658237653000000,1710658297655000000,0
FilePageCache.pageLoads,1710658237653000000,1710658297655000000,0
DirectByteBufferAllocator.disposed,1710658237653000000,1710658297655000000,0
StorageLockContext.competingThreads.90P,1710658237653000000,1710658297655000000,0
AWTEventQueue.eventsDispatched,1710658237653000000,1710658297655000000,429
FlushQueue.queueSizeAvg,1710658237653000000,1710658297655000000,0.03867403314917127
FlushQueue.waitingTimeMaxNs,1710658237653000000,1710658297655000000,5275647
NonBlockingReadAction.finalizedExecutionTimeUs,1710658237653000000,1710658297655000000,51180
FlushQueue.waitingTime90PNs,1710658237653000000,1710658297655000000,446463
NonBlockingReadAction.finalizedExecutionsCount,1710658237653000000,1710658297655000000,28
FlushQueue.tasksExecuted,1710658237653000000,1710658297655000000,362
FlushQueue.queueSizeMax,1710658237653000000,1710658297655000000,1
FlushQueue.executionTimeMaxNs,1710658237653000000,1710658297655000000,12845055
FlushQueue.executionTimeAvgNs,1710658237653000000,1710658297655000000,141765.7679558011
FlushQueue.queueSize90P,1710658237653000000,1710658297655000000,0
NonBlockingReadAction.failedExecutionTimeUs,1710658237653000000,1710658297655000000,0
NonBlockingReadAction.failedExecutionsCount,1710658237653000000,1710658297655000000,0
FlushQueue.waitingTimeAvgNs,1710658237653000000,1710658297655000000,291867.4917127072
AWTEventQueue.dispatchTimeAvgNs,1710658237653000000,1710658297655000000,433619.20745920745
FlushQueue.executionTime90PNs,1710658237653000000,1710658297655000000,233471
AWTEventQueue.dispatchTimeMaxNs,1710658237653000000,1710658297655000000,13762559
AWTEventQueue.dispatchTime90PNs,1710658237653000000,1710658297655000000,505855
FileNameCache.totalMisses,1710658237653000000,1710658297655000000,0
FileNameCache.fastMisses,1710658237653000000,1710658297655000000,93
FileNameCache.queries,1710658237653000000,1710658297655000000,11472
FilePageCache.disposedBuffers,1710658297655000000,1710658357655000000,0
StorageLockContext.competingThreads.max,1710658297655000000,1710658357655000000,0
FilePageCache.pageFastCacheHits,1710658297655000000,1710658357655000000,0
FilePageCache.uncachedFileAccess,1710658297655000000,1710658357655000000,0
StorageLockContext.competingThreads.avg,1710658297655000000,1710658357655000000,0.0
FilePageCache.maxRegisteredFiles,1710658297655000000,1710658357655000000,705
FilePageCache.totalPageDisposalsUs,1710658297655000000,1710658357655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710658297655000000,1710658357655000000,0
DirectByteBufferAllocator.reclaimed,1710658297655000000,1710658357655000000,0
FilePageCache.pageHits,1710658297655000000,1710658357655000000,0
DirectByteBufferAllocator.hits,1710658297655000000,1710658357655000000,0
DirectByteBufferAllocator.misses,1710658297655000000,1710658357655000000,0
FilePageCache.capacityInBytes,1710658297655000000,1710658357655000000,524288000
FilePageCache.maxCacheSizeInBytes,1710658297655000000,1710658357655000000,489709568
FilePageCache.pageLoadsAboveSizeThreshold,1710658297655000000,1710658357655000000,0
FilePageCache.totalPageLoadsUs,1710658297655000000,1710658357655000000,0
FilePageCache.pageLoads,1710658297655000000,1710658357655000000,0
DirectByteBufferAllocator.disposed,1710658297655000000,1710658357655000000,0
StorageLockContext.competingThreads.90P,1710658297655000000,1710658357655000000,0
AWTEventQueue.eventsDispatched,1710658297655000000,1710658357655000000,430
FlushQueue.queueSizeAvg,1710658297655000000,1710658357655000000,0.038781163434903045
FlushQueue.waitingTimeMaxNs,1710658297655000000,1710658357655000000,7897087
NonBlockingReadAction.finalizedExecutionTimeUs,1710658297655000000,1710658357655000000,13067
FlushQueue.waitingTime90PNs,1710658297655000000,1710658357655000000,409599
NonBlockingReadAction.finalizedExecutionsCount,1710658297655000000,1710658357655000000,24
FlushQueue.tasksExecuted,1710658297655000000,1710658357655000000,361
FlushQueue.queueSizeMax,1710658297655000000,1710658357655000000,1
FlushQueue.executionTimeMaxNs,1710658297655000000,1710658357655000000,7798783
FlushQueue.executionTimeAvgNs,1710658297655000000,1710658357655000000,148574.27146814406
FlushQueue.queueSize90P,1710658297655000000,1710658357655000000,0
NonBlockingReadAction.failedExecutionTimeUs,1710658297655000000,1710658357655000000,0
NonBlockingReadAction.failedExecutionsCount,1710658297655000000,1710658357655000000,0
FlushQueue.waitingTimeAvgNs,1710658297655000000,1710658357655000000,277926.648199446
AWTEventQueue.dispatchTimeAvgNs,1710658297655000000,1710658357655000000,499143.7395348837
FlushQueue.executionTime90PNs,1710658297655000000,1710658357655000000,278527
AWTEventQueue.dispatchTimeMaxNs,1710658297655000000,1710658357655000000,24903679
AWTEventQueue.dispatchTime90PNs,1710658297655000000,1710658357655000000,456703
FileNameCache.totalMisses,1710658297655000000,1710658357655000000,0
FileNameCache.fastMisses,1710658297655000000,1710658357655000000,0
FileNameCache.queries,1710658297655000000,1710658357655000000,1282
