# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1710657757658000000,1710657817652000000,13549
FilePageCache.uncachedFileAccess,1710657757658000000,1710657817652000000,33
StorageLockContext.competingThreads.avg,1710657757658000000,1710657817652000000,0.0
FilePageCache.maxRegisteredFiles,1710657757658000000,1710657817652000000,702
FilePageCache.totalPageDisposalsUs,1710657757658000000,1710657817652000000,296
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657757658000000,1710657817652000000,0
DirectByteBufferAllocator.reclaimed,1710657757658000000,1710657817652000000,0
FilePageCache.pageHits,1710657757658000000,1710657817652000000,165
DirectByteBufferAllocator.hits,1710657757658000000,1710657817652000000,0
DirectByteBufferAllocator.misses,1710657757658000000,1710657817652000000,25
FilePageCache.capacityInBytes,1710657757658000000,1710657817652000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657757658000000,1710657817652000000,405766144
FilePageCache.pageLoadsAboveSizeThreshold,1710657757658000000,1710657817652000000,0
FilePageCache.totalPageLoadsUs,1710657757658000000,1710657817652000000,11687
FilePageCache.pageLoads,1710657757658000000,1710657817652000000,25
DirectByteBufferAllocator.disposed,1710657757658000000,1710657817652000000,24
StorageLockContext.competingThreads.90P,1710657757658000000,1710657817652000000,0
AWTEventQueue.eventsDispatched,1710657757658000000,1710657817652000000,13545
FlushQueue.queueSizeAvg,1710657757658000000,1710657817652000000,26.398544395924308
FlushQueue.waitingTimeMaxNs,1710657757658000000,1710657817652000000,763363327
NonBlockingReadAction.finalizedExecutionTimeUs,1710657757658000000,1710657817652000000,999566
FlushQueue.waitingTime90PNs,1710657757658000000,1710657817652000000,148897791
NonBlockingReadAction.finalizedExecutionsCount,1710657757658000000,1710657817652000000,877
FlushQueue.tasksExecuted,1710657757658000000,1710657817652000000,6870
FlushQueue.queueSizeMax,1710657757658000000,1710657817652000000,427
FlushQueue.executionTimeMaxNs,1710657757658000000,1710657817652000000,4043309055
FlushQueue.executionTimeAvgNs,1710657757658000000,1710657817652000000,2317056.2791848616
FlushQueue.queueSize90P,1710657757658000000,1710657817652000000,70
NonBlockingReadAction.failedExecutionTimeUs,1710657757658000000,1710657817652000000,100044
NonBlockingReadAction.failedExecutionsCount,1710657757658000000,1710657817652000000,7
FlushQueue.waitingTimeAvgNs,1710657757658000000,1710657817652000000,4.214187682445415E7
AWTEventQueue.dispatchTimeAvgNs,1710657757658000000,1710657817652000000,1347398.6539682539
FlushQueue.executionTime90PNs,1710657757658000000,1710657817652000000,622591
AWTEventQueue.dispatchTimeMaxNs,1710657757658000000,1710657817652000000,2617245695
AWTEventQueue.dispatchTime90PNs,1710657757658000000,1710657817652000000,1482751
FileNameCache.totalMisses,1710657757658000000,1710657817652000000,5
FileNameCache.fastMisses,1710657757658000000,1710657817652000000,15224
FileNameCache.queries,1710657757658000000,1710657817652000000,591878
FilePageCache.disposedBuffers,1710657817652000000,1710657877655000000,0
StorageLockContext.competingThreads.max,1710657817652000000,1710657877655000000,0
FilePageCache.pageFastCacheHits,1710657817652000000,1710657877655000000,947
FilePageCache.uncachedFileAccess,1710657817652000000,1710657877655000000,0
StorageLockContext.competingThreads.avg,1710657817652000000,1710657877655000000,0.0
FilePageCache.maxRegisteredFiles,1710657817652000000,1710657877655000000,702
FilePageCache.totalPageDisposalsUs,1710657817652000000,1710657877655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657817652000000,1710657877655000000,0
DirectByteBufferAllocator.reclaimed,1710657817652000000,1710657877655000000,0
FilePageCache.pageHits,1710657817652000000,1710657877655000000,33
DirectByteBufferAllocator.hits,1710657817652000000,1710657877655000000,0
DirectByteBufferAllocator.misses,1710657817652000000,1710657877655000000,0
FilePageCache.capacityInBytes,1710657817652000000,1710657877655000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657817652000000,1710657877655000000,405766144
FilePageCache.pageLoadsAboveSizeThreshold,1710657817652000000,1710657877655000000,0
FilePageCache.totalPageLoadsUs,1710657817652000000,1710657877655000000,0
FilePageCache.pageLoads,1710657817652000000,1710657877655000000,0
DirectByteBufferAllocator.disposed,1710657817652000000,1710657877655000000,0
StorageLockContext.competingThreads.90P,1710657817652000000,1710657877655000000,0
AWTEventQueue.eventsDispatched,1710657817652000000,1710657877655000000,2948
FlushQueue.queueSizeAvg,1710657817652000000,1710657877655000000,0.15384615384615385
FlushQueue.waitingTimeMaxNs,1710657817652000000,1710657877655000000,276824063
NonBlockingReadAction.finalizedExecutionTimeUs,1710657817652000000,1710657877655000000,37764
FlushQueue.waitingTime90PNs,1710657817652000000,1710657877655000000,655359
NonBlockingReadAction.finalizedExecutionsCount,1710657817652000000,1710657877655000000,64
FlushQueue.tasksExecuted,1710657817652000000,1710657877655000000,1456
FlushQueue.queueSizeMax,1710657817652000000,1710657877655000000,11
FlushQueue.executionTimeMaxNs,1710657817652000000,1710657877655000000,50855935
FlushQueue.executionTimeAvgNs,1710657817652000000,1710657877655000000,350328.9168956044
FlushQueue.queueSize90P,1710657817652000000,1710657877655000000,0
NonBlockingReadAction.failedExecutionTimeUs,1710657817652000000,1710657877655000000,0
NonBlockingReadAction.failedExecutionsCount,1710657817652000000,1710657877655000000,0
FlushQueue.waitingTimeAvgNs,1710657817652000000,1710657877655000000,997828.7822802198
AWTEventQueue.dispatchTimeAvgNs,1710657817652000000,1710657877655000000,1071296.5427408412
FlushQueue.executionTime90PNs,1710657817652000000,1710657877655000000,319487
AWTEventQueue.dispatchTimeMaxNs,1710657817652000000,1710657877655000000,291504127
AWTEventQueue.dispatchTime90PNs,1710657817652000000,1710657877655000000,2998271
FileNameCache.totalMisses,1710657817652000000,1710657877655000000,0
FileNameCache.fastMisses,1710657817652000000,1710657877655000000,1798
FileNameCache.queries,1710657817652000000,1710657877655000000,64498
FilePageCache.disposedBuffers,1710657877655000000,1710657937655000000,0
StorageLockContext.competingThreads.max,1710657877655000000,1710657937655000000,0
FilePageCache.pageFastCacheHits,1710657877655000000,1710657937655000000,12139
FilePageCache.uncachedFileAccess,1710657877655000000,1710657937655000000,0
StorageLockContext.competingThreads.avg,1710657877655000000,1710657937655000000,0.0
FilePageCache.maxRegisteredFiles,1710657877655000000,1710657937655000000,702
FilePageCache.totalPageDisposalsUs,1710657877655000000,1710657937655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657877655000000,1710657937655000000,0
DirectByteBufferAllocator.reclaimed,1710657877655000000,1710657937655000000,0
FilePageCache.pageHits,1710657877655000000,1710657937655000000,214
DirectByteBufferAllocator.hits,1710657877655000000,1710657937655000000,0
DirectByteBufferAllocator.misses,1710657877655000000,1710657937655000000,0
FilePageCache.capacityInBytes,1710657877655000000,1710657937655000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657877655000000,1710657937655000000,405766144
FilePageCache.pageLoadsAboveSizeThreshold,1710657877655000000,1710657937655000000,0
FilePageCache.totalPageLoadsUs,1710657877655000000,1710657937655000000,0
FilePageCache.pageLoads,1710657877655000000,1710657937655000000,0
DirectByteBufferAllocator.disposed,1710657877655000000,1710657937655000000,0
StorageLockContext.competingThreads.90P,1710657877655000000,1710657937655000000,0
AWTEventQueue.eventsDispatched,1710657877655000000,1710657937655000000,1018
FlushQueue.queueSizeAvg,1710657877655000000,1710657937655000000,1.1908471275559882
FlushQueue.waitingTimeMaxNs,1710657877655000000,1710657937655000000,257949695
NonBlockingReadAction.finalizedExecutionTimeUs,1710657877655000000,1710657937655000000,166240
FlushQueue.waitingTime90PNs,1710657877655000000,1710657937655000000,11272191
NonBlockingReadAction.finalizedExecutionsCount,1710657877655000000,1710657937655000000,194
FlushQueue.tasksExecuted,1710657877655000000,1710657937655000000,1027
FlushQueue.queueSizeMax,1710657877655000000,1710657937655000000,30
FlushQueue.executionTimeMaxNs,1710657877655000000,1710657937655000000,58720255
FlushQueue.executionTimeAvgNs,1710657877655000000,1710657937655000000,915223.0272638754
FlushQueue.queueSize90P,1710657877655000000,1710657937655000000,4
NonBlockingReadAction.failedExecutionTimeUs,1710657877655000000,1710657937655000000,13560
NonBlockingReadAction.failedExecutionsCount,1710657877655000000,1710657937655000000,2
FlushQueue.waitingTimeAvgNs,1710657877655000000,1710657937655000000,8500793.258033106
AWTEventQueue.dispatchTimeAvgNs,1710657877655000000,1710657937655000000,1740483.21021611
FlushQueue.executionTime90PNs,1710657877655000000,1710657937655000000,1368063
AWTEventQueue.dispatchTimeMaxNs,1710657877655000000,1710657937655000000,140509183
AWTEventQueue.dispatchTime90PNs,1710657877655000000,1710657937655000000,3457023
FileNameCache.totalMisses,1710657877655000000,1710657937655000000,0
FileNameCache.fastMisses,1710657877655000000,1710657937655000000,15968
FileNameCache.queries,1710657877655000000,1710657937655000000,369987
FilePageCache.disposedBuffers,1710657937655000000,1710657997655000000,0
StorageLockContext.competingThreads.max,1710657937655000000,1710657997655000000,2
FilePageCache.pageFastCacheHits,1710657937655000000,1710657997655000000,79592
FilePageCache.uncachedFileAccess,1710657937655000000,1710657997655000000,32
StorageLockContext.competingThreads.avg,1710657937655000000,1710657997655000000,0.016666666666666666
FilePageCache.maxRegisteredFiles,1710657937655000000,1710657997655000000,702
FilePageCache.totalPageDisposalsUs,1710657937655000000,1710657997655000000,710
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657937655000000,1710657997655000000,0
DirectByteBufferAllocator.reclaimed,1710657937655000000,1710657997655000000,0
FilePageCache.pageHits,1710657937655000000,1710657997655000000,453
DirectByteBufferAllocator.hits,1710657937655000000,1710657997655000000,0
DirectByteBufferAllocator.misses,1710657937655000000,1710657997655000000,3
FilePageCache.capacityInBytes,1710657937655000000,1710657997655000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657937655000000,1710657997655000000,405790720
FilePageCache.pageLoadsAboveSizeThreshold,1710657937655000000,1710657997655000000,0
FilePageCache.totalPageLoadsUs,1710657937655000000,1710657997655000000,4318
FilePageCache.pageLoads,1710657937655000000,1710657997655000000,3
DirectByteBufferAllocator.disposed,1710657937655000000,1710657997655000000,0
StorageLockContext.competingThreads.90P,1710657937655000000,1710657997655000000,0
AWTEventQueue.eventsDispatched,1710657937655000000,1710657997655000000,3016
FlushQueue.queueSizeAvg,1710657937655000000,1710657997655000000,6.126447016918967
FlushQueue.waitingTimeMaxNs,1710657937655000000,1710657997655000000,520093695
NonBlockingReadAction.finalizedExecutionTimeUs,1710657937655000000,1710657997655000000,9501155
FlushQueue.waitingTime90PNs,1710657937655000000,1710657997655000000,293601279
NonBlockingReadAction.finalizedExecutionsCount,1710657937655000000,1710657997655000000,617
FlushQueue.tasksExecuted,1710657937655000000,1710657997655000000,1123
FlushQueue.queueSizeMax,1710657937655000000,1710657997655000000,44
FlushQueue.executionTimeMaxNs,1710657937655000000,1710657997655000000,234881023
FlushQueue.executionTimeAvgNs,1710657937655000000,1710657997655000000,2255791.057880677
FlushQueue.queueSize90P,1710657937655000000,1710657997655000000,22
NonBlockingReadAction.failedExecutionTimeUs,1710657937655000000,1710657997655000000,899745
NonBlockingReadAction.failedExecutionsCount,1710657937655000000,1710657997655000000,12
FlushQueue.waitingTimeAvgNs,1710657937655000000,1710657997655000000,6.743424589581478E7
AWTEventQueue.dispatchTimeAvgNs,1710657937655000000,1710657997655000000,1923116.1777188329
FlushQueue.executionTime90PNs,1710657937655000000,1710657997655000000,3620863
AWTEventQueue.dispatchTimeMaxNs,1710657937655000000,1710657997655000000,238026751
AWTEventQueue.dispatchTime90PNs,1710657937655000000,1710657997655000000,1835007
FileNameCache.totalMisses,1710657937655000000,1710657997655000000,116
FileNameCache.fastMisses,1710657937655000000,1710657997655000000,26822
FileNameCache.queries,1710657937655000000,1710657997655000000,958301
FilePageCache.disposedBuffers,1710657997655000000,1710658057651000000,0
StorageLockContext.competingThreads.max,1710657997655000000,1710658057651000000,0
FilePageCache.pageFastCacheHits,1710657997655000000,1710658057651000000,7807
FilePageCache.uncachedFileAccess,1710657997655000000,1710658057651000000,66
StorageLockContext.competingThreads.avg,1710657997655000000,1710658057651000000,0.0
FilePageCache.maxRegisteredFiles,1710657997655000000,1710658057651000000,702
FilePageCache.totalPageDisposalsUs,1710657997655000000,1710658057651000000,152
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657997655000000,1710658057651000000,0
DirectByteBufferAllocator.reclaimed,1710657997655000000,1710658057651000000,0
FilePageCache.pageHits,1710657997655000000,1710658057651000000,940
DirectByteBufferAllocator.hits,1710657997655000000,1710658057651000000,0
